,id,question_type,exam_tips
0,1,TMC,"1. Remember Lambda's 15-minute execution limit. For longer-running tasks, consider ECS Fargate or EC2.
2. S3 Object Lock provides immutable storage with compliance features. Versioning must be enabled to use Object Lock.
3. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
4. This tests high-performing architecture design. Focus on scalability, performance optimization, and right-sizing resources."
1,2,TMC,"1. Focus on the key requirements: cost optimization, high availability, scalability. Always choose solutions that directly address these specific needs.
2. Remember Lambda's 15-minute execution limit. For longer-running tasks, consider ECS Fargate or EC2.
3. DynamoDB on-demand provides instant scaling without capacity planning, while provisioned capacity requires pre-planning but can be more cost-effective for predictable workloads.
4. S3 Object Lock provides immutable storage with compliance features. Versioning must be enabled to use Object Lock.
5. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question."
2,3,TMC,"1. Remember Lambda's 15-minute execution limit. For longer-running tasks, consider ECS Fargate or EC2.
2. Spot Instances can be interrupted with 2-minute notice. Never use for stateful or critical workloads that cannot tolerate interruptions.
3. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
4. This tests resilient architecture design. Focus on fault tolerance, disaster recovery, and high availability patterns."
3,4,TMCMA,"1. Focus on the key requirements: high availability. Always choose solutions that directly address these specific needs.
2. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
3. This tests high-performing architecture design. Focus on scalability, performance optimization, and right-sizing resources."
4,5,TMC,"1. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
2. This tests secure architecture design. Focus on defense in depth, least privilege, and data protection.
3. Read the question carefully and identify all requirements before evaluating options.
4. Managed services are generally preferred over self-managed solutions for operational efficiency.
5. Consider the trade-offs between cost, performance, and operational complexity when choosing between options."
5,6,TMCMA,"1. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
2. This tests high-performing architecture design. Focus on scalability, performance optimization, and right-sizing resources.
3. Read the question carefully and identify all requirements before evaluating options.
4. Managed services are generally preferred over self-managed solutions for operational efficiency.
5. Consider the trade-offs between cost, performance, and operational complexity when choosing between options."
6,7,TMC,"1. Focus on the key requirements: high availability. Always choose solutions that directly address these specific needs.
2. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
3. This tests resilient architecture design. Focus on fault tolerance, disaster recovery, and high availability patterns."
7,8,TMC,"1. S3 Object Lock provides immutable storage with compliance features. Versioning must be enabled to use Object Lock.
2. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
3. Apply the Cost Optimization pillar: right-size resources, use appropriate pricing models (on-demand vs reserved vs spot), and eliminate waste.
4. This tests cost-optimized architecture design. Focus on resource optimization, pricing models, and cost monitoring."
8,9,TMC,"1. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
2. This tests secure architecture design. Focus on defense in depth, least privilege, and data protection.
3. Read the question carefully and identify all requirements before evaluating options.
4. Managed services are generally preferred over self-managed solutions for operational efficiency.
5. Consider the trade-offs between cost, performance, and operational complexity when choosing between options."
9,10,TMCMA,"1. Focus on the key requirements: cost optimization. Always choose solutions that directly address these specific needs.
2. Remember Lambda's 15-minute execution limit. For longer-running tasks, consider ECS Fargate or EC2.
3. S3 Object Lock provides immutable storage with compliance features. Versioning must be enabled to use Object Lock.
4. Eliminate options that don't meet the core requirements. Look for solutions that are over-engineered, under-powered, or miss key constraints mentioned in the question.
5. Apply the Cost Optimization pillar: right-size resources, use appropriate pricing models (on-demand vs reserved vs spot), and eliminate waste."
